,Planet_Identifier,Planetary_Mass_Earth,Eccentricity,Semi_Major_Axis_AU,Host_Star_Radius_Solar,Host_Star_Temperature_Kelvin,Luminosity_of_Host_Star,Runaway_Greenhouse_S_eff,Maximum_Greenhouse_S_eff,Runaway_Greenhouse,Maximum_Greenhouse,Is_In_Habitable_Zone
875,WASP-94 B b,196.46609289708985,0.0,0.0335,1.35,6040.0,2.143400448359281,1.22625480537216,0.3721006291108,1.322090843673759,2.400056449501083,False
876,,,,,,,,,,,,
877,,,,,,,,,,,,
878,WASP-97 b,419.636314925823,,0.03303,1.06,5640.0,1.0046532007495745,1.1682948155225599,0.34740244194279996,0.9273247719097619,1.7005587984836863,
879,POTS-1 b,734.3635511201903,,0.03734,0.588,4400.0,0.11451262859316166,1.03726653182976,0.2804565382628,0.33226263834257974,0.6389897730014146,
880,,,,,,,,,,,,
881,,,,,,,,,,,,
882,,,,,,,,,,,,
883,,,,,,,,,,,,
884,,,,,,,,,,,,
885,,,,,,,,,,,,
886,KOI-1873.02,22.39967784066173,,,0.97,6134.0,1.1770816269696227,1.2404620658420282,0.37790750229125825,0.9741179509045402,1.7648611114896111,
887,KOI-1873.01,32.69984193429557,,,0.97,6134.0,1.1770816269696227,1.2404620658420282,0.37790750229125825,0.9741179509045402,1.7648611114896111,
888,WASP-22 b,186.92890392150295,0.0,0.04698,1.13,6000.0,1.4623452347793877,1.22025788420096,0.36962302491879995,1.0947101528391814,1.989048847162232,False
889,,,,,,,,,,,,
890,HD 41004 A b,807.4819999330231,0.74,1.7,,5035.0,,1.0935463142804476,0.31211909565427653,,,
891,,,,,,,,,,,,
892,,,,,,,,,,,,
893,,,,,,,,,,,,
894,HATS-30 b,224.44184722547806,0.048,0.04354,1.061,5943.0,1.240914086520948,1.2117735920965838,0.3660896008872872,1.0119524714561798,1.8410990801912055,False
895,HD 62509 b,921.9282676400657,0.02,1.69,9.3,4666.0,36.227040839922225,1.0579480728364306,0.2929248191870631,5.851729662726962,11.120859273129508,False
896,,,,,,,,,,,,
897,,,,,,,,,,,,
898,,,,,,,,,,,,
899,,,,,,,,,,,,
900,,,,,,,,,,,,
901,,,,,,,,,,,,
902,,,,,,,,,,,,
903,,,,,,,,,,,,
904,,,,,,,,,,,,
905,,,,,,,,,,,,
906,,,,,,,,,,,,
907,,,,,,,,,,,,
908,,,,,,,,,,,,
909,JS 183 b,530.9035196410033,0.24,,0.44,3325.0,0.020910286210170534,0.9876381703565472,0.24180334973677656,0.14550605143224773,0.294068720670956,
910,,,,,,,,,,,,
911,,,,,,,,,,,,
912,WASP-41 b,298.83192123505575,,0.04,0.87,5545.0,0.6323139058528259,1.1553698231597476,0.34163172503040157,0.7397855709208393,1.3604646746418978,
913,WASP-41 c,1010.94203141221,0.294,1.07,0.87,5545.0,0.6323139058528259,1.1553698231597476,0.34163172503040157,0.7397855709208393,1.3604646746418978,True
914,HD 20794 b,2.7000735708784034,0.0,0.1207,,5490.0,,1.0698897462158898,0.33832095473042495,,,
915,HD 20794 c,2.4000908288402933,0.0,0.2036,,5490.0,,1.0698897462158898,0.33832095473042495,,,
916,HD 20794 d,4.8000672114128795,0.0,0.3499,,5490.0,,1.0698897462158898,0.33832095473042495,,,
917,HD 162020 b,4577.850708281706,0.277,0.074,0.71,4830.0,0.24243384318198943,1.0727734792249999,0.30119574301562496,0.475381863614316,0.8971647639683318,False
918,HD 31253 b,158.95314959311477,0.3,1.26,1.71,5960.0,3.2603579668371694,1.2142959031641603,0.3671435792228,1.6385902933152174,2.979989089479269,False
919,,,,,,,,,,,,
920,,,,,,,,,,,,
921,HD 43197 b,190.74377951173773,0.83,0.92,1.0,5508.0,0.8133243075136475,1.1504428982262824,0.3394018087083213,0.8408128538158275,1.5480136998471286,False
922,,,,,,,,,,,,
923,,,,,,,,,,,,
924,2MASS J0219-3925 B,4418.897558688591,,,0.281,3064.0,0.006149725194440365,0.9795696565719797,0.23465673205845564,0.07923374670595533,0.16188676537549626,
925,,,,,,,,,,,,
926,,,,,,,,,,,,
927,Kepler-59 b,1.2169453132848866,,,0.94,6074.0,1.0627788015441988,1.1473009375227006,0.37420407497954944,0.9624601733010089,1.685261057554211,
928,Kepler-59 c,4.084460131944677,,,0.94,6074.0,1.0627788015441988,1.1473009375227006,0.37420407497954944,0.9624601733010089,1.685261057554211,
929,,,,,,,,,,,,
930,,,,,,,,,,,,
931,,,,,,,,,,,,
932,,,,,,,,,,,,
933,,,,,,,,,,,,
934,,,,,,,,,,,,
935,,,,,,,,,,,,
936,HD 171028 b,629.4544723887345,0.59,1.32,1.95,5663.0,3.4557593758293264,1.1714806310578796,0.348808191411162,1.7175294449567848,3.1475918332221804,False
937,,,,,,,,,,,,
938,,,,,,,,,,,,
939,,,,,,,,,,,,
940,HAT-P-33 b,242.56250627909316,0.148,0.0503,1.777,6446.0,4.817526209208573,1.2881184518782083,0.3967976187341287,1.933900574115783,3.4843960635828854,False
941,,,,,,,,,,,,
942,,,,,,,,,,,,
943,,,,,,,,,,,,
944,,,,,,,,,,,,
945,GJ 1132 b,1.6200505006530257,,,0.207,3270.0,0.0043293203947212,0.9269422462286898,0.24024836904242497,0.06834134561908778,0.13423928787613984,
946,,,,,,,,,,,,
947,,,,,,,,,,,,
948,,,,,,,,,,,,
949,WASP-57 b,213.63303305314628,0.0,0.0386,1.32,5600.0,1.5142165764385023,1.16280585743616,0.3449652806948,1.1411438464629473,2.095107465661165,False
950,,,,,,,,,,,,
951,,,,,,,,,,,,
952,,,,,,,,,,,,
953,WASP-52 b,146.2368976256656,0.0,,0.79,5000.0,0.34468487418720417,1.08982528192896,0.31021052155879997,0.5623836337995973,1.0541025183071513,
954,,,,,,,,,,,,
955,,,,,,,,,,,,
956,,,,,,,,,,,,
957,,,,,,,,,,,,
958,,,,,,,,,,,,
959,HD 1605 b,305.19004721878036,0.078,1.48,3.8,4757.0,6.534130811184973,1.0659767972111651,0.29746086558464463,2.4758255275313545,4.686827760782456,False
960,HD 1605 c,1106.3139211680789,0.098,3.52,3.8,4757.0,6.534130811184973,1.0659767972111651,0.29746086558464463,2.4758255275313545,4.686827760782456,True
961,HATS-16 b,1039.5535983389707,,0.03744,1.238,5738.0,1.4681535877859246,1.1820121271862496,0.35341141047065344,1.1144864154681,2.0381937321900114,
962,HD 40307 b,3.9992612437627675,0.2,0.0468,,4977.0,,1.0137272433907611,0.30896582472973283,,,
963,HD 40307 c,6.600251050936004,0.06,0.0799,,4977.0,,1.0874188370342797,0.30896582472973283,,,
964,HD 40307 d,9.500361438263957,0.07,0.1321,,4977.0,,1.0874188370342797,0.30896582472973283,,,
965,HD 40307 e,3.5001165634104687,0.15,0.1886,,4977.0,,1.0137272433907611,0.30896582472973283,,,
966,HD 40307 f,5.200196795820636,0.02,0.247,,4977.0,,1.0874188370342797,0.30896582472973283,,,
967,HD 40307 g,7.1002687019858675,0.29,0.6,,4977.0,,1.0874188370342797,0.30896582472973283,,,
968,HD 45184 b,12.716251967449182,0.3,0.0638,,5940.0,,1.21132922802176,0.3659036044288,,,
969,,,,,,,,,,,,
970,HD 11506 b,1338.3855195740264,0.37,2.708,1.33,6058.0,2.105272820507473,1.2289637599031928,0.37321456951021825,1.3088342571516813,2.3750617045595006,False
971,HD 11506 c,114.44626770704264,0.24,0.721,1.33,6058.0,2.105272820507473,1.2289637599031928,0.37321456951021825,1.3088342571516813,2.3750617045595006,False
972,,,,,,,,,,,,
973,,,,,,,,,,,,
974,,,,,,,,,,,,
975,HATS-19 b,135.74598975252002,0.3,0.0589,1.74,5896.0,3.2330797818813024,1.2048390081781493,0.36317611559944757,1.638112411676296,2.9836616433431766,False
976,,,,,,,,,,,,
977,WASP-141 b,855.1679448109575,0.0,0.0469,1.37,5900.0,2.0097276454566853,1.20542686411776,0.36342400945279996,1.2912138338334105,2.3515910337047514,False
978,,,,,,,,,,,,
979,,,,,,,,,,,,
980,,,,,,,,,,,,
981,,,,,,,,,,,,
982,,,,,,,,,,,,
983,,,,,,,,,,,,
984,,,,,,,,,,,,
985,,,,,,,,,,,,
986,,,,,,,,,,,,
987,,,,,,,,,,,,
988,,,,,,,,,,,,
989,,,,,,,,,,,,
990,CoRoT-6 b,941.0026455912395,,0.0855,1.025,6090.0,1.2770412539062501,1.23379399600436,0.375192857552425,1.017375177537069,1.8449099895154766,
991,HD 221287 b,982.3304644854493,0.08,1.25,,6304.0,,1.266410809468195,0.38830011773812284,,,
992,HATS-25 b,194.8765614011587,0.088,0.05163,1.107,5715.0,1.1551761304346968,1.1787598898500475,0.35199689234902654,0.989945825163171,1.8115682001842899,False
993,,,,,,,,,,,,
994,tau Boo A b,1948.765614011587,0.011,0.049,1.42,6399.0,2.9875360545282272,1.2809454917463146,0.39400875853632195,1.5271836041513096,2.7536176683101394,False
995,WASP-53 b,794.7657479655738,,,,5700.0,,1.17664946241536,0.35107568174079995,,,
996,,,,,,,,,,,,
997,HIP 13044 b,397.3828739827869,0.25,0.116,6.7,6025.0,52.271605098685264,1.2240021160589476,0.3711718335894016,6.534943449765558,11.867122129937195,False
998,HD 45652 b,149.41596061752787,0.38,0.23,,5312.0,,1.1254351891901275,0.32779268396967487,,,
999,OGLE235-MOA53 b,826.5563778841969,,5.1,,5700.0,,1.17664946241536,0.35107568174079995,,,
1000,,,,,,,,,,,,
1001,,,,,,,,,,,,
1002,,,,,,,,,,,,
1003,HD 107148 b,66.7603228291082,0.05,0.269,,5797.0,,1.1904409917965684,0.357049544963663,,,
1004,,,,,,,,,,,,
1005,,,,,,,,,,,,
1006,HD 22781 b,4339.420983892033,0.8191,1.167,,5027.0,,1.092689530695773,0.3116813264454559,,,
1007,,,,,,,,,,,,
1008,,,,,,,,,,,,
1009,,,,,,,,,,,,
1010,,,,,,,,,,,,
1011,,,,,,,,,,,,
1012,,,,,,,,,,,,
1013,Kepler-50 b,5.074738253909783,,0.077,1.58,6225.0,3.3125284941117434,1.2543270237733473,0.3834935233426515,1.6250787892122167,2.9390081777793897,
1014,Kepler-50 c,8.278597937108604,,0.087,1.58,6225.0,3.3125284941117434,1.2543270237733473,0.3834935233426515,1.6250787892122167,2.9390081777793897,
1015,HD 1502 b,985.5095274773116,0.101,1.31,4.5,5049.0,11.62879022100323,1.095054582460997,0.312887341507754,3.258737547193828,6.096397431309774,False
1016,HD 175541 b,193.9228425036,0.33,1.03,3.85,5060.0,8.58640861561706,1.0962475735449602,0.3134928685568,2.7986684602193272,5.233496561473566,False
1017,,,,,,,,,,,,
1018,42 Dra b,1233.4764408425706,0.38,1.19,22.03,4200.0,133.4486490558915,1.0243363651673598,0.2718766497508,11.413945521447424,22.154968455534874,False
1019,,,,,,,,,,,,
1020,HD 99109 b,159.58896219148724,0.09,1.105,,5272.0,,1.1205709127812238,0.3254716314742125,,,
1021,,,,,,,,,,,,
1022,HD 136352 b,5.277244566491411,0.18,0.0933,,5940.0,,1.21132922802176,0.3659036044288,,,
1023,HD 136352 c,11.381045510867017,0.16,0.1665,,5940.0,,1.21132922802176,0.3659036044288,,,
1024,HD 136352 d,9.537188975586886,0.43,0.411,,5940.0,,1.21132922802176,0.3659036044288,,,
1025,,,,,,,,,,,,
1026,HD 86226 b,292.4737952513312,0.15,2.84,1.02,5940.0,1.1445483646969732,1.21132922802176,0.3659036044288,0.9720441175099014,1.7686167378531266,False
1027,,,,,,,,,,,,
1028,GJ 3138 b,4.19636314925823,0.11,0.057,0.5,3717.0,0.0421694832163421,0.9374207538214522,0.2538994009724102,0.21209569682327475,0.4075381796714854,False
1029,GJ 3138 c,1.7802752754428854,0.19,0.0197,0.5,3717.0,0.0421694832163421,0.9374207538214522,0.2538994009724102,0.21209569682327475,0.4075381796714854,False
1030,GJ 3138 d,10.490907873145575,0.32,0.698,0.5,3717.0,0.0421694832163421,1.0010084095799512,0.2538994009724102,0.20524863445101685,0.4075381796714854,False
1031,HD 125595 b,13.352064565821642,0.0,0.0809,,4908.0,,1.0803855543970855,0.30527812395209725,,,
1032,,,,,,,,,,,,
1033,Kepler-424 b,327.44348816181645,,0.044,0.94,5460.0,0.6939278276537331,1.1441453013401601,0.33652562145279996,0.778783176464863,1.4359789856627971,
1034,Kepler-424 c,2215.8069053280196,0.3185,0.73,0.94,5460.0,0.6939278276537331,1.1441453013401601,0.33652562145279996,0.778783176464863,1.4359789856627971,False
1035,,,,,,,,,,,,
1036,,,,,,,,,,,,
1037,,,,,,,,,,,,
1038,,,,,,,,,,,,
1039,,,,,,,,,,,,
1040,,,,,,,,,,,,
1041,,,,,,,,,,,,
1042,Oph 11 B,6676.032282910821,,,,2838.0,,0.9718822754507422,0.22881482452215746,,,
1043,CoRoT-14 b,2416.0878738153447,0.0,0.027,1.21,6035.0,1.7161998675349384,1.2255034146884476,0.3717910779630266,1.1833866598077196,2.148495509204176,False
1044,,,,,,,,,,,,
1045,,,,,,,,,,,,
1046,,,,,,,,,,,,
1047,,,,,,,,,,,,
1048,HD 39392 b,4196.36314925823,0.394,0.11,,5951.0,,1.2129596702028291,0.36658559386060685,,,
1049,,,,,,,,,,,,
1050,WASP-75 b,340.15974012926563,0.0,0.0375,1.26,6100.0,1.942443771605628,1.23530693001216,0.3758104373248,1.253968967949979,2.2734730439991697,False
1051,HD 221585 b,511.8291416898296,0.123,2.306,,5620.0,,1.16554202443776,0.34618260244480004,,,
1052,,,,,,,,,,,,
1053,,,,,,,,,,,,
1054,,,,,,,,,,,,
1055,,,,,,,,,,,,
1056,,,,,,,,,,,,
1057,,,,,,,,,,,,
1058,KELT-15 b,289.2947322594689,,0.04613,1.481,6003.0,2.5169321961738502,1.220706490169683,0.3698089267240407,1.435919625558821,2.608837707144665,
1059,,,,,,,,,,,,
1060,Kepler-100 b,7.343635511201902,0.13,0.0727,1.49,5825.0,2.258625782528865,1.1944822929365473,0.3587800947461516,1.375093669173587,2.509042227297373,False
1061,,,,,,,,,,,,
1062,Kepler-406 b,6.350178326244935,,,1.07,5538.0,0.9516283831175604,1.1544329604516959,0.3412090332074055,0.9079236614771308,1.670026771796217,
1063,Kepler-406 c,2.7101512005626067,,,1.07,5538.0,0.9516283831175604,1.0758020333983167,0.3412090332074055,0.9405188690802819,1.670026771796217,
1064,,,,,,,,,,,,
1065,,,,,,,,,,,,
1066,,,,,,,,,,,,
1067,,,,,,,,,,,,
1068,,,,,,,,,,,,
1069,,,,,,,,,,,,
1070,,,,,,,,,,,,
1071,,,,,,,,,,,,
1072,,,,,,,,,,,,
1073,WASP-54 b,202.188406282442,0.067,0.04987,1.4,6100.0,2.398078730377318,1.23530693001216,0.3758104373248,1.3932988532777546,2.5260811599990776,False
1074,,,,,,,,,,,,
1075,HD 108341 b,1112.6720471518033,0.85,2.0,0.79,5122.0,0.3795775382536838,1.1031011422122592,0.31693656435217343,0.5866007113367957,1.0943697488322586,False
1076,,,,,,,,,,,,
1077,,,,,,,,,,,,
1078,,,,,,,,,,,,
1079,,,,,,,,,,,,
1080,,,,,,,,,,,,
1081,,,,,,,,,,,,
1082,,,,,,,,,,,,
1083,,,,,,,,,,,,
1084,,,,,,,,,,,,
1085,,,,,,,,,,,,
1086,,,,,,,,,,,,
1087,,,,,,,,,,,,
1088,,,,,,,,,,,,
1089,,,,,,,,,,,,
1090,HD 88133 b,69.9393858209705,0.133,0.047,1.93,5494.0,2.998867406793324,1.148594974462664,0.3385609125184071,1.615828173423271,2.976187057652885,False
1091,WASP-46 b,667.9211345902683,0.0,0.02448,0.917,5620.0,0.7412623794466655,1.16554202443776,0.34618260244480004,0.7974840600325682,1.4632999591266251,False
1092,,,,,,,,,,,,
1093,HD 102329 b,1875.6471651987545,0.211,2.01,6.3,4830.0,19.087877873225867,1.0727734792249999,0.30119574301562496,4.218177099676325,7.960757764789423,False
1094,alf Tau b,2056.853755734905,0.1,1.46,45.1,4055.0,485.96449859663517,1.0162555059046876,0.26608174848535154,21.867584635304073,42.73608445975947,False
1095,,,,,,,,,,,,
1096,HIP 91258 b,339.52392753089316,0.024,0.057,1.0,5519.0,0.8198409406306695,1.151901167650422,0.3400636314956556,0.8436400558178271,1.5526898244408762,False
1097,,,,,,,,,,,,
1098,,,,,,,,,,,,
1099,,,,,,,,,,,,
1100,,,,,,,,,,,,
1101,,,,,,,,,,,,
1102,,,,,,,,,,,,
1103,,,,,,,,,,,,
1104,WASP-37 b,539.1690834198453,0.0,0.04339,0.977,5800.0,0.954529,1.1908727604825602,0.35723485352680007,0.8952861848786564,1.6346231742139217,False
1105,,,,,,,,,,,,
1106,,,,,,,,,,,,
1107,Kepler-7 b,139.878771641941,0.1,0.06246,1.96,6027.0,4.479246204200568,1.2243022154428451,0.37129569683716585,1.912749730650807,3.473301702318971,False
1108,HD 95127 b,1592.71055892301,0.11,1.28,20.0,4218.0,111.8856318219265,1.0254129042193476,0.27262082168897667,10.445705323734725,20.258516903589285,False
1109,HAT-P-14 b,699.3938582097051,0.095,0.0594,1.468,6600.0,3.613398659237277,1.31141125778816,0.40572860245479997,1.6599250760970161,2.984283838726063,False
1110,,,,,,,,,,,,
1111,,,,,,,,,,,,
1112,,,,,,,,,,,,
1113,,,,,,,,,,,,
1114,,,,,,,,,,,,
1115,,,,,,,,,,,,
1116,HD 102365 b,15.895314959311477,0.34,0.46,,5650.0,,1.1696773381947598,0.348013262978425,,,
1117,,,,,,,,,,,,
1118,,,,,,,,,,,,
1119,HD 216770 b,206.63909447104922,0.37,0.46,1.0,5248.0,0.6702909121180407,1.1176931624074076,0.3240877164811628,0.7744089589161011,1.4381373986274297,False
1120,,,,,,,,,,,,
1121,EPIC 201577035 b,27.022035430829515,0.31,,0.98,5620.0,0.8466139873640605,1.16554202443776,0.34618260244480004,0.8522730412561796,1.5638320173872327,
1122,Wolf 1061 b,1.3606389605170623,0.0,0.035509,0.26,3345.0,0.0074785811424863775,0.9284021838921931,0.24237631210065158,0.0897514613066773,0.17565661867271282,False
1123,Wolf 1061 c,4.259944409095476,0.19,0.08427,0.26,3345.0,0.0074785811424863775,0.9284021838921931,0.24237631210065158,0.0897514613066773,0.17565661867271282,False
1124,Wolf 1061 d,5.213663306654165,0.32,0.2039,0.26,3345.0,0.0074785811424863775,0.9882593658085473,0.24237631210065158,0.08699096240998698,0.17565661867271282,False
1125,,,,,,,,,,,,
1126,KOI-314 b,1.9700653360570646,0.05,0.091,0.442,3841.0,0.037575934756627724,0.9413992800920209,0.2581615105569656,0.19978734044451416,0.38151283196147456,False
1127,KOI-314 c,0.6399453802618801,,0.128,0.442,3841.0,0.037575934756627724,0.8731272224406403,0.2581615105569656,0.20745128634239884,0.38151283196147456,
1128,,,,,,,,,,,,
1129,HD 12648 b,921.9282676400657,0.04,0.54,9.2,4835.8,40.90128986193036,1.0733270825505834,0.3014960805108582,6.173087859495494,11.647364499385771,False
1130,,,,,,,,,,,,
1131,,,,,,,,,,,,
1132,,,,,,,,,,,,
1133,,,,,,,,,,,,
1134,,,,,,,,,,,,
1135,HD 134060 b,11.158511101436657,0.4,0.0444,,5940.0,,1.21132922802176,0.3659036044288,,,
1136,HD 134060 c,47.90847928736479,0.75,2.2263,,5940.0,,1.21132922802176,0.3659036044288,,,
1137,,,,,,,,,,,,
1138,,,,,,,,,,,,
1139,,,,,,,,,,,,
1140,HD 196067 b,2193.553464384984,0.66,5.02,1.73,5940.0,3.292501730778134,1.21132922802176,0.3659036044288,1.6486630620511071,2.9997127024371655,False
1141,HD 149143 b,432.35256689327224,0.0,0.052,,5730.0,,1.180878711725,0.35291914126562496,,,
1142,,,,,,,,,,,,
1143,,,,,,,,,,,,
1144,HD 85390 b,41.9636314925823,0.41,1.52,,5186.0,,1.1104033579382366,0.3205442220447175,,,
1145,,,,,,,,,,,,
1146,HD 5891 b,2416.0878738153447,0.066,0.76,8.7,4907.0,38.77847829211361,1.0802856838988222,0.30522519929761865,5.991369042150821,11.271590139632773,False
1147,Kepler-422 b,136.6997086500787,0.016,0.082,1.24,5972.0,1.7282660242163383,1.2160805963154064,0.3678875223690445,1.1921313711419759,2.1674434091081696,False
1148,HD 100655 b,540.4407086165902,0.085,0.76,9.3,4861.0,42.67331751503365,1.0757555947012913,0.30280705183356504,6.298271775700568,11.871216108531584,False
1149,HD 97658 b,7.551856825324002,0.078,0.08,0.741,5119.0,0.33316928737596296,1.1027644885036956,0.31676875281980366,0.5496561527608631,1.0255605641993277,False
1150,HIP 70849 b,2861.156692676066,0.6,10.0,,4105.0,,1.0189259917171876,0.2680400735166016,,,
1151,HD 37124 b,214.58675195070495,0.054,0.53364,0.82,5610.0,0.5885280619750882,1.1641718417963598,0.34557361834442496,0.7110089088918033,1.3050083714105722,False
1152,HD 37124 c,207.27490706942166,0.125,1.71,0.82,5610.0,0.5885280619750882,1.1641718417963598,0.34557361834442496,0.7110089088918033,1.3050083714105722,False
1153,HD 37124 d,221.26278423361575,0.16,2.807,0.82,5610.0,0.5885280619750882,1.1641718417963598,0.34557361834442496,0.7110089088918033,1.3050083714105722,False
1154,WASP-88 b,178.02752754428857,,0.06431,2.08,6431.0,6.539261939595662,1.2858313198831415,0.3959103825808644,2.2551340741137684,4.064114373193365,
1155,,,,,,,,,,,,
1156,EPIC 211391664 b,32.10853621780919,,0.0943,1.311,6120.0,2.130586141036677,1.2383373677657596,0.37704454453479996,1.3116865330569605,2.3771315610156742,
1157,,,,,,,,,,,,
1158,,,,,,,,,,,,
1159,HIP 107773 b,629.4544723887345,0.09,0.72,11.6,4945.0,71.09993241981273,1.0841222228261476,0.3072468454786516,8.098330011350034,15.212159755160902,False
1160,,,,,,,,,,,,
1161,,,,,,,,,,,,
1162,KELT-18 b,375.12943303975084,0.0,0.0455,1.908,6670.0,6.367194288899998,1.32183026903556,0.40966260694442497,2.194755796618923,3.9424018404516183,False
1163,HD 93385 b,8.360935668597838,0.15,0.1116,,5940.0,,1.21132922802176,0.3659036044288,,,
1164,HD 93385 c,10.1094203141221,0.24,0.257,,5940.0,,1.21132922802176,0.3659036044288,,,
1165,,,,,,,,,,,,
1166,HD 155233 b,635.8125983724591,0.03,2.07,5.03,4845.0,12.319671322545902,1.0742093117725475,0.3019735502862765,3.386531381185582,6.387267549056618,False
1167,,,,,,,,,,,,
1168,,,,,,,,,,,,
1169,,,,,,,,,,,,
1170,,,,,,,,,,,,
1171,,,,,,,,,,,,
1172,,,,,,,,,,,,
1173,KELT-6 b,140.51458424031347,0.029,0.08,1.529,6272.0,3.196886335240294,1.2615133566332561,0.3863588105999725,1.5919069217379338,2.876525229009404,False
1174,KELT-6 c,1179.4323699809115,0.21,2.39,1.529,6272.0,3.196886335240294,1.2615133566332561,0.3863588105999725,1.5919069217379338,2.876525229009404,True
1175,HAT-P-16 b,1332.9811124878604,0.036,0.0413,1.158,6140.0,1.684141699250646,1.2413734517145598,0.3782770910528,1.1647643988988097,2.1100089343370843,False
1176,XO-2S b,82.33773148923345,0.18,0.1344,1.02,5395.0,0.7788506117345602,1.1357931594308475,0.33266358647902655,0.8280898439761003,1.53011632946331,False
1177,XO-2S c,435.5316298851345,0.1528,0.4756,1.02,5395.0,0.7788506117345602,1.1357931594308475,0.33266358647902655,0.8280898439761003,1.53011632946331,False
1178,XO-2N b,189.79006061417903,,0.03673,1.01,5332.0,0.7286036394902173,1.127898778854752,0.32895980754731,0.8037307880453596,1.4882443713369602,
1179,,,,,,,,,,,,
1180,,,,,,,,,,,,
1181,,,,,,,,,,,,
1182,,,,,,,,,,,,
1183,,,,,,,,,,,,
1184,,,,,,,,,,,,
1185,OGLE-TR-111 b,171.66940156056395,0.0,0.047,0.831,5070.0,0.4032012878932044,1.0973381441459602,0.31404479105642497,0.6061648057877639,1.1330919605203829,False
1186,HD 33844 b,610.3800944375607,0.16,1.59,5.29,4861.0,13.80708041013358,1.0757555947012913,0.30280705183356504,3.5825653433823668,6.7525519585088265,False
1187,HD 33844 c,534.0825826328656,0.09,2.25,5.29,4861.0,13.80708041013358,1.0757555947012913,0.30280705183356504,3.5825653433823668,6.7525519585088265,False
1188,,,,,,,,,,,,
1189,,,,,,,,,,,,
1190,,,,,,,,,,,,
1191,,,,,,,,,,,,
1192,,,,,,,,,,,,
1193,,,,,,,,,,,,
1194,,,,,,,,,,,,
1195,HD 11977 b,2066.390944710492,0.3,1.89,13.0,4975.0,91.48440560003344,1.0872110410208473,0.30885795098640156,9.173110144693656,17.21052594594545,False
1196,,,,,,,,,,,,
1197,,,,,,,,,,,,
1198,,,,,,,,,,,,
1199,,,,,,,,,,,,
1200,,,,,,,,,,,,
1201,,,,,,,,,,,,
1202,,,,,,,,,,,,
1203,,,,,,,,,,,,
1204,HAT-P-65 b,167.53661967114297,0.3,0.03951,1.86,5835.0,3.543866519355535,1.1959317204628477,0.35939864928127657,1.721414612805928,3.1401504586741034,False
1205,,,,,,,,,,,,
1206,,,,,,,,,,,,
1207,,,,,,,,,,,,
1208,Kepler-46 c,119.5327684940223,0.015,0.2799,0.79,5309.0,0.43812003096680247,1.125067447841556,0.3276179893121538,0.6240325957670491,1.1564122526519578,False
1209,,,,,,,,,,,,
1210,,,,,,,,,,,,
1211,,,,,,,,,,,,
1212,,,,,,,,,,,,
1213,,,,,,,,,,,,
1214,,,,,,,,,,,,
1215,,,,,,,,,,,,
1216,,,,,,,,,,,,
1217,,,,,,,,,,,,
1218,,,,,,,,,,,,
1219,,,,,,,,,,,,
1220,,,,,,,,,,,,
1221,,,,,,,,,,,,
1222,HD 218566 b,66.7603228291082,0.3,0.6873,0.86,4820.0,0.3527549211862894,1.07182368669696,0.3006791518208,0.5736868106632775,1.083140717959809,True
1223,,,,,,,,,,,,
1224,,,,,,,,,,,,
1225,,,,,,,,,,,,
1226,,,,,,,,,,,,
1227,,,,,,,,,,,,
1228,,,,,,,,,,,,
1229,,,,,,,,,,,,
1230,,,,,,,,,,,,
1231,,,,,,,,,,,,
1232,,,,,,,,,,,,
1233,,,,,,,,,,,,
1234,,,,,,,,,,,,
1235,,,,,,,,,,,,
1236,,,,,,,,,,,,
1237,,,,,,,,,,,,
1238,WASP-1 b,271.49197950504004,0.0,0.03889,1.47,6160.0,2.749448212521811,1.24441463870976,0.37950788591080004,1.486415468865017,2.6916114655852867,False
1239,HD 13908 b,274.98894879608855,0.046,0.154,1.67,6255.0,3.7725084755474385,1.2589127999046874,0.3853242451416016,1.731080592619384,3.128973924459741,False
1240,HD 13908 c,1630.8593148253576,0.12,2.03,1.67,6255.0,3.7725084755474385,1.2589127999046874,0.3853242451416016,1.731080592619384,3.128973924459741,True
1241,,,,,,,,,,,,
1242,SAND364 b,489.57570074679353,0.35,,21.8,4284.0,141.4486678266406,1.0295050778942503,0.2753967662632652,11.721553773942864,22.663136397777794,
1243,,,,,,,,,,,,
1244,WASP-76 b,292.4737952513312,,0.033,1.73,6250.0,4.035527409293148,1.2581481648939596,0.385019558024425,1.7909532789427793,3.237492381642132,
1245,,,,,,,,,,,,
1246,,,,,,,,,,,,
1247,HAT-P-26 b,18.756471651987543,0.124,0.0479,0.788,5079.0,0.3651348720519103,1.0983245579934007,0.3145426883963864,0.5765823034970243,1.077424529538103,False
1248,HD 72659 b,1001.4048424366231,0.22,4.74,1.36,5926.0,2.0156375067700476,1.209258581490924,0.36503564864476223,1.2910605963965824,2.3498415357117093,False
1249,,,,,,,,,,,,
1250,,,,,,,,,,,,
1251,,,,,,,,,,,,
1252,,,,,,,,,,,,
1253,,,,,,,,,,,,
1254,,,,,,,,,,,,
1255,,,,,,,,,,,,
1256,,,,,,,,,,,,
1257,HIP 67851 b,438.71069287699675,0.05,0.46,5.87,4805.0,16.230720394811694,1.0704101482171875,0.29990720153222655,3.893980651038007,7.356571340929752,False
1258,HIP 67851 c,1901.0796691336527,0.17,3.82,5.87,4805.0,16.230720394811694,1.0704101482171875,0.29990720153222655,3.893980651038007,7.356571340929752,False
