,Planet_Identifier,Planetary_Mass_Earth,Eccentricity,Semi_Major_Axis_AU,Host_Star_Radius_Solar,Host_Star_Temperature_Kelvin,Luminosity_of_Host_Star,Runaway_Greenhouse_S_eff,Maximum_Greenhouse_S_eff,Runaway_Greenhouse,Maximum_Greenhouse,Is_In_Habitable_Zone
84,HD 145377 b,1831.1402833126822,0.307,0.45,1.14,6046.0,1.5345120381302446,1.227157111994151,0.37247202274856067,1.1182401092366097,2.0297302356187137,False
85,,,,,,,,,,,,
86,HD 5608 b,445.06881886072136,0.19,1.9,5.5,4854.0,14.839268491296814,1.0750772261440875,0.30244190879765187,3.7152360769390196,7.0046309894451,False
87,HATS-28 b,213.63303305314628,0.101,0.04131,0.922,5498.0,0.6863866213158055,1.1491220269249196,0.33880100369094784,0.7728608890432453,1.4233511638885314,False
88,,,,,,,,,,,,
89,HD 68988 b,604.0219684538362,0.14,0.071,1.14,5767.0,1.2702743657178812,1.186140003220885,0.3551980639720832,1.0348580695905032,1.891095547261138,False
90,,,,,,,,,,,,
91,HD 183263 b,1155.5893975419444,0.3728,1.486,1.117,5936.0,1.3688943817798427,1.2107370989884048,0.3656556114153325,1.0633103604305536,1.9348568940784792,True
92,HD 183263 c,2193.553464384984,0.051,5.69,1.117,5936.0,1.3688943817798427,1.2107370989884048,0.3656556114153325,1.0633103604305536,1.9348568940784792,False
93,HD 154672 b,1595.8896219148721,0.61,0.6,1.27,5714.0,1.519345038034426,1.1786189317680578,0.35193544532179266,1.1353806791961345,2.077766315844003,False
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
99,beta Ursae Minoris b,1939.228425036,0.19,1.4,38.3,4126.0,375.6664996409009,1.0200834141930168,0.2688750444810663,19.190371888029958,37.37885437037188,False
100,,,,,,,,,,,,
101,,,,,,,,,,,,
102,,,,,,,,,,,,
103,OGLE-TR-10 b,216.17628344663612,0.0,0.04516,1.52,6075.0,2.780739658196759,1.2315276372820476,0.37426589605177646,1.502650859523767,2.7257752124438337,False
104,Kepler-128 b,1.3002367636716787,,,1.55,6090.0,2.920253765625001,1.14954504318149,0.375192857552425,1.5938494604478284,2.7898638865843797,
105,Kepler-128 c,1.5005177321590035,,,1.55,6090.0,2.920253765625001,1.14954504318149,0.375192857552425,1.5938494604478284,2.7898638865843797,
106,WASP-11 b,146.2368976256656,0.0,0.0439,0.81,4974.0,0.35487972443727284,1.0871072307538463,0.30880403587110145,0.5713528544264884,1.072010674371464,False
107,,,,,,,,,,,,
108,HATS-18 b,629.4544723887345,0.166,0.01761,1.02,5600.0,0.9041499805593535,1.16280585743616,0.3449652806948,0.881792972266823,1.6189466780108999,False
109,,,,,,,,,,,,
110,KELT-16 b,874.2423227621313,,0.02044,1.36,6236.0,2.4716687605319647,1.256007872403112,0.38416549991502846,1.402810324391762,2.5365063512783017,
111,,,,,,,,,,,,
112,,,,,,,,,,,,
113,,,,,,,,,,,,
114,,,,,,,,,,,,
115,HD 106315 b,7.947657479655739,0.3,0.09012,1.18,6290.0,1.9259926354120949,1.2642679171131601,0.38745181590642497,1.2342631203173027,2.2295563885499137,False
116,HD 106315 c,20.02809684873246,0.23,0.1526,1.18,6290.0,1.9259926354120949,1.2642679171131601,0.38745181590642497,1.2342631203173027,2.2295563885499137,False
117,,,,,,,,,,,,
118,,,,,,,,,,,,
119,,,,,,,,,,,,
120,,,,,,,,,,,,
121,,,,,,,,,,,,
122,,,,,,,,,,,,
123,WASP-62 b,181.20659053615083,0.0,0.0567,1.28,6230.0,2.1810225290426857,1.2550909502249998,0.383799066265625,1.3182339027744552,2.3838455774957694,False
124,,,,,,,,,,,,
125,,,,,,,,,,,,
126,,,,,,,,,,,,
127,,,,,,,,,,,,
128,,,,,,,,,,,,
129,WASP-14 b,2333.750142326111,0.087,0.036,1.306,6462.0,2.6281018645309504,1.2905554454790125,0.39774093862656384,1.427028883148017,2.5705197796688606,False
130,,,,,,,,,,,,
131,HD 2952 b,508.6500786979673,0.129,1.2,12.02,4844.0,70.29322987019712,1.0741131737433536,0.3019215878033101,8.089687174515001,15.258423551080913,False
132,WASP-127 b,57.22313385352132,,0.052,1.39,5620.0,1.7031891763703677,1.16554202443776,0.34618260244480004,1.208836252393969,2.218088269559442,
